collectTime,metrisValue
2020/3/14 16:01,467
2020/3/14 16:11,603
2020/3/14 16:21,615
2020/3/14 16:31,566
2020/3/14 16:41,515
2020/3/14 16:51,522
2020/3/14 17:01,442
2020/3/14 17:11,408
2020/3/14 17:21,336
2020/3/14 17:31,282
2020/3/14 17:41,266
2020/3/14 17:51,225
2020/3/14 18:01,210
2020/3/14 18:11,190
2020/3/14 18:21,219
2020/3/14 18:31,184
2020/3/14 18:41,182
2020/3/14 18:51,140
2020/3/14 19:01,130
2020/3/14 19:11,114
2020/3/14 19:21,134
2020/3/14 19:31,152
2020/3/14 19:41,115
2020/3/14 19:51,102
2020/3/14 20:01,107
2020/3/14 20:11,94
2020/3/14 20:21,96
2020/3/14 20:31,113
2020/3/14 20:41,97
2020/3/14 20:51,98
2020/3/14 21:01,107
2020/3/14 21:11,112
2020/3/14 21:21,130
2020/3/14 21:31,134
2020/3/14 21:41,178
2020/3/14 21:51,189
2020/3/14 22:01,221
2020/3/14 22:11,211
2020/3/14 22:21,267
2020/3/14 22:31,325
2020/3/14 22:41,405
2020/3/14 22:51,501
2020/3/14 23:01,518
2020/3/14 23:11,739
2020/3/14 23:21,841
2020/3/14 23:31,881
2020/3/14 23:41,922
2020/3/14 23:51,1015
2020/3/15 0:01,1041
2020/3/15 0:11,1191
2020/3/15 0:21,1332
2020/3/15 0:31,1328
2020/3/15 0:41,1485
2020/3/15 0:51,1560
2020/3/15 1:01,1566
2020/3/15 1:11,1919
2020/3/15 1:21,2175
2020/3/15 1:31,2202
2020/3/15 1:41,2335
2020/3/15 1:51,2400
2020/3/15 2:01,2433
2020/3/15 2:11,2587
2020/3/15 2:21,2619
2020/3/15 2:31,2416
2020/3/15 2:41,2529
2020/3/15 2:51,2425
2020/3/15 3:01,2326
2020/3/15 3:11,2383
2020/3/15 3:21,2399
2020/3/15 3:31,2197
2020/3/15 3:41,2243
2020/3/15 3:51,2227
2020/3/15 4:01,2178
2020/3/15 4:11,2093
2020/3/15 4:21,2105
2020/3/15 4:31,2103
2020/3/15 4:41,2124
2020/3/15 4:51,1949
2020/3/15 5:01,1976
2020/3/15 5:11,1961
2020/3/15 5:21,2016
2020/3/15 5:31,1866
2020/3/15 5:41,1893
2020/3/15 5:51,1822
2020/3/15 6:01,1800
2020/3/15 6:11,1982
2020/3/15 6:21,2058
2020/3/15 6:31,1857
2020/3/15 6:41,1917
2020/3/15 6:51,1920
2020/3/15 7:01,1944
2020/3/15 7:11,1919
2020/3/15 7:21,1886
2020/3/15 7:31,1842
2020/3/15 7:41,1828
2020/3/15 7:51,1789
2020/3/15 8:01,1816
2020/3/15 8:11,1850
2020/3/15 8:21,1761
2020/3/15 8:31,1711
2020/3/15 8:41,1850
2020/3/15 8:51,1707
2020/3/15 9:01,1731
2020/3/15 9:11,1724
2020/3/15 9:21,1722
2020/3/15 9:31,1753
2020/3/15 9:41,1730
2020/3/15 9:51,1632
2020/3/15 10:01,1667
2020/3/15 10:11,1663
2020/3/15 10:21,1602
2020/3/15 10:31,1471
2020/3/15 10:41,1543
2020/3/15 10:51,1649
2020/3/15 11:01,1584
2020/3/15 11:11,1557
2020/3/15 11:21,1668
2020/3/15 11:31,1634
2020/3/15 11:41,1698
2020/3/15 11:51,1698
2020/3/15 12:01,1633
2020/3/15 12:11,1564
2020/3/15 12:21,1556
2020/3/15 12:31,1469
2020/3/15 12:41,1505
2020/3/15 12:51,1510
2020/3/15 13:01,1340
2020/3/15 13:11,1377
2020/3/15 13:21,1327
2020/3/15 13:31,1281
2020/3/15 13:41,1253
2020/3/15 13:51,1284
2020/3/15 14:01,1189
2020/3/15 14:11,1094
2020/3/15 14:21,1064
2020/3/15 14:31,1015
2020/3/15 14:41,938
2020/3/15 14:51,943
2020/3/15 15:01,829
2020/3/15 15:11,748
2020/3/15 15:21,727
2020/3/15 15:31,678
2020/3/15 15:41,658
2020/3/15 15:51,574
2020/3/15 16:01,504
2020/3/15 16:11,655
2020/3/15 16:21,577
2020/3/15 16:31,806
2020/3/15 16:41,795
2020/3/15 16:51,633
2020/3/15 17:01,518
2020/3/15 17:11,482
2020/3/15 17:21,416
2020/3/15 17:31,340
2020/3/15 17:41,319
2020/3/15 17:51,233
2020/3/15 18:01,235
2020/3/15 18:11,210
2020/3/15 18:21,192
2020/3/15 18:31,206
2020/3/15 18:41,163
2020/3/15 18:51,157
2020/3/15 19:01,147
